sequence,tx_ns,rx_ns,latency_ns
921,200000000,200002044,2044
922,200000000,200002046,2046
923,200000000,200002048,2048
924,200000000,200002050,2050
925,200000000,200002052,2052
926,200000000,200002054,2054
927,200000000,200002056,2056
928,200000000,200002058,2058
929,200000000,200002060,2060
930,200000000,200002062,2062
931,200000000,200002064,2064
932,200000000,200002066,2066
933,200000000,200002068,2068
934,200000000,200002070,2070
935,200000000,200002072,2072
936,200000000,200002074,2074
937,200000000,200002076,2076
938,200000000,200002078,2078
939,200000000,200002080,2080
940,200000000,200002082,2082
941,200000000,200002084,2084
942,200000000,200002086,2086
943,200000000,200002088,2088
944,200000000,200002090,2090
945,200000000,200002092,2092
946,200000000,200002094,2094
947,200000000,200002096,2096
948,200000000,200002098,2098
949,200000000,200002100,2100
950,200000000,200002102,2102
951,200000000,200002104,2104
952,200000000,200002106,2106
953,200000000,200002108,2108
954,200000000,200002110,2110
955,200000000,200002112,2112
956,200000000,200002114,2114
957,200000000,200002116,2116
958,200000000,200002118,2118
959,200000000,200002120,2120
960,200000000,200002122,2122
961,200000000,200002124,2124
962,200000000,200002126,2126
963,200000000,200002128,2128
964,200000000,200002130,2130
965,200000000,200002132,2132
966,200000000,200002134,2134
967,200000000,200002136,2136
968,200000000,200002138,2138
969,200000000,200002140,2140
970,200000000,200002142,2142
971,200000000,200002144,2144
972,200000000,200002146,2146
973,200000000,200002148,2148
974,200000000,200002150,2150
975,200000000,200002152,2152
976,200000000,200002154,2154
977,200000000,200002156,2156
978,200000000,200002158,2158
979,200000000,200002160,2160
980,200000000,200002162,2162
981,200000000,200002164,2164
982,200000000,200002166,2166
983,200000000,200002168,2168
984,200000000,200002170,2170
985,200000000,200002172,2172
986,200000000,200002174,2174
987,200000000,200002176,2176
988,200000000,200002178,2178
989,200000000,200002180,2180
990,200000000,200002182,2182
991,200000000,200002184,2184
992,200000000,200002186,2186
993,200000000,200002188,2188
994,200000000,200002190,2190
995,200000000,200002192,2192
996,200000000,200002194,2194
997,200000000,200002196,2196
998,200000000,200002198,2198
999,200000000,200002200,2200
1000,200000000,200002202,2202
1001,200000000,200002204,2204
1002,200000000,200002206,2206
1003,200000000,200002208,2208
1004,200000000,200002210,2210
1005,200000000,200002212,2212
1006,200000000,200002214,2214
1007,200000000,200002216,2216
1008,200000000,200002218,2218
1009,200000000,200002220,2220
1010,200000000,200002222,2222
1011,200000000,200002224,2224
1012,200000000,200002226,2226
1013,200000000,200002228,2228
1014,200000000,200002230,2230
1015,200000000,200002232,2232
1016,200000000,200002234,2234
1017,200000000,200002236,2236
1018,200000000,200002238,2238
1019,200000000,200002240,2240
1020,200000000,200002242,2242
1021,200000000,200002244,2244
1022,200000000,200002246,2246
1023,200000000,200002248,2248
1024,200000000,200002250,2250
1025,200000000,200002252,2252
1026,200000000,200002254,2254
1027,200000000,200002256,2256
1028,200000000,200002258,2258
1029,200000000,200002260,2260
1030,200000000,200002262,2262
1031,200000000,200002264,2264
1032,200000000,200002266,2266
1033,200000000,200002268,2268
1034,200000000,200002270,2270
1035,200000000,200002272,2272
1036,200000000,200002274,2274
1037,200000000,200002276,2276
1038,200000000,200002278,2278
1039,200000000,200002280,2280
1040,200000000,200002282,2282
1041,200000000,200002284,2284
1042,200000000,200002286,2286
1043,200000000,200002288,2288
1044,200000000,200002290,2290
1045,200000000,200002292,2292
1046,200000000,200002294,2294
1047,200000000,200002296,2296
1048,200000000,200002298,2298
1049,200000000,200002300,2300
1050,200000000,200002302,2302
1051,200000000,200002304,2304
1052,200000000,200002306,2306
1053,200000000,200002308,2308
1054,200000000,200002310,2310
1055,200000000,200002312,2312
1056,200000000,200002314,2314
1057,200000000,200002316,2316
1058,200000000,200002318,2318
1059,200000000,200002320,2320
1060,200000000,200002322,2322
1061,200000000,200002324,2324
1062,200000000,200002326,2326
1063,200000000,200002328,2328
1064,200000000,200002330,2330
1065,200000000,200002332,2332
1066,200000000,200002334,2334
1067,200000000,200002336,2336
1068,200000000,200002338,2338
1069,200000000,200002340,2340
1070,200000000,200002342,2342
1071,200000000,200002344,2344
1072,200000000,200002346,2346
1073,200000000,200002348,2348
1074,200000000,200002350,2350
1075,200000000,200002352,2352
1076,200000000,200002354,2354
1077,200000000,200002356,2356
1078,200000000,200002358,2358
1079,200000000,200002360,2360
1080,200000000,200002362,2362
1081,200000000,200002364,2364
1082,200000000,200002366,2366
1083,200000000,200002368,2368
1084,200000000,200002370,2370
1085,200000000,200002372,2372
1086,200000000,200002374,2374
1087,200000000,200002376,2376
1088,200000000,200002378,2378
1089,200000000,200002380,2380
1090,200000000,200002382,2382
1091,200000000,200002384,2384
